Time [s],Current,Voltage
0.000078692,0.296,3.044
0.000142692,0.294,3.044
0.000206692,0.285,3.057
0.000270692,0.268,3.077
0.000334692,0.248,3.104
0.000398692,0.227,3.131
0.000462692,0.209,3.155
0.000526692,0.197,3.171
0.000590692,0.194,3.179
0.000654692,0.196,3.175
0.000718692,0.207,3.163
0.000782692,0.223,3.142
0.000846692,0.244,3.115
0.000910692,0.264,3.089
0.000974692,0.282,3.065
0.001038692,0.293,3.048
0.001102692,0.297,3.043
0.001166692,0.292,3.048
0.001230692,0.279,3.063
0.001294692,0.261,3.087
0.001358692,0.241,3.114
0.001422692,0.220,3.141
0.001486692,0.204,3.163
0.001550692,0.194,3.175
0.001614692,0.194,3.179
0.001678692,0.200,3.171
0.001742692,0.212,3.156
0.001806692,0.231,3.131
0.001870692,0.252,3.104
0.001934692,0.271,3.078
0.001998692,0.287,3.058
0.002062692,0.296,3.044
0.002126692,0.296,3.043
0.002190692,0.287,3.051
0.002254692,0.274,3.070
0.002318692,0.253,3.096
0.002382692,0.233,3.123
0.002446692,0.215,3.149
0.002510692,0.201,3.167
0.002574692,0.194,3.176
0.002638692,0.196,3.175
0.002702692,0.204,3.165
0.002766692,0.219,3.148
0.002830692,0.238,3.121
0.002894692,0.260,3.095
0.002958692,0.278,3.070
0.003022692,0.292,3.053
0.003086692,0.297,3.043
0.003150692,0.294,3.044
0.003214692,0.283,3.058
0.003278692,0.267,3.081
0.003342692,0.246,3.107
0.003406692,0.224,3.134
0.003470692,0.208,3.157
0.003534692,0.197,3.172
0.003598692,0.193,3.178
0.003662692,0.198,3.174
0.003726692,0.209,3.160
0.003790692,0.226,3.138
0.003854692,0.246,3.112
0.003918692,0.267,3.087
0.003982692,0.283,3.062
0.004046692,0.294,3.047
0.004110692,0.297,3.043
0.004174692,0.292,3.050
0.004238692,0.278,3.066
0.004302692,0.259,3.089
0.004366692,0.238,3.118
0.004430692,0.218,3.144
0.004494692,0.203,3.164
0.004558692,0.194,3.175
0.004622692,0.194,3.178
0.004686692,0.201,3.169
0.004750692,0.215,3.153
0.004814692,0.234,3.130
0.004878692,0.255,3.102
0.004942692,0.274,3.076
0.005006692,0.289,3.055
0.005070692,0.297,3.043
0.005134692,0.296,3.042
0.005198692,0.287,3.054
0.005262692,0.271,3.074
0.005326692,0.252,3.099
0.005390692,0.230,3.126
0.005454692,0.212,3.152
0.005518692,0.200,3.169
0.005582692,0.194,3.178
0.005646692,0.196,3.175
0.005710692,0.205,3.164
0.005774692,0.222,3.145
0.005838692,0.241,3.118
0.005902692,0.263,3.091
0.005966692,0.281,3.066
0.006030692,0.293,3.048
0.006094692,0.297,3.042
0.006158692,0.294,3.044
0.006222692,0.282,3.059
0.006286692,0.264,3.082
0.006350692,0.244,3.110
0.006414692,0.223,3.137
0.006478692,0.205,3.159
0.006542692,0.197,3.172
0.006606692,0.194,3.178
0.006670692,0.200,3.171
0.006734692,0.211,3.157
0.006798692,0.230,3.133
0.006862692,0.250,3.107
0.006926692,0.270,3.081
0.006990692,0.286,3.058
0.007054692,0.296,3.044
0.007118692,0.297,3.042
0.007182692,0.290,3.050
0.007246692,0.277,3.068
0.007310692,0.256,3.092
0.007374692,0.235,3.119
0.007438692,0.216,3.145
0.007502692,0.203,3.165
0.007566692,0.194,3.175
0.007630692,0.194,3.175
0.007694692,0.203,3.167
0.007758692,0.218,3.149
0.007822692,0.237,3.125
0.007886692,0.257,3.097
0.007950692,0.277,3.073
0.008014692,0.290,3.053
0.008078692,0.297,3.043
0.008142692,0.296,3.043
0.008206692,0.286,3.055
0.008270692,0.268,3.076
0.008334692,0.249,3.103
0.008398692,0.229,3.130
0.008462692,0.209,3.153
0.008526692,0.198,3.171
0.008590692,0.193,3.178
0.008654692,0.197,3.175
0.008718692,0.208,3.163
0.008782692,0.223,3.141
0.008846692,0.244,3.115
0.008910692,0.266,3.088
0.008974692,0.282,3.065
0.009038692,0.294,3.048
0.009102692,0.297,3.042
0.009166692,0.293,3.047
0.009230692,0.281,3.063
0.009294692,0.261,3.085
0.009358692,0.241,3.114
0.009422692,0.220,3.140
0.009486692,0.204,3.163
0.009550692,0.196,3.174
0.009614692,0.194,3.178
0.009678692,0.200,3.171
0.009742692,0.212,3.156
0.009806692,0.231,3.131
0.009870692,0.252,3.106
0.009934692,0.272,3.080
0.009998692,0.287,3.058
0.010062692,0.296,3.044
0.010126692,0.296,3.042
0.010190692,0.289,3.053
0.010254692,0.274,3.072
0.010318692,0.253,3.097
0.010382692,0.233,3.125
0.010446692,0.213,3.149
0.010510692,0.201,3.168
0.010574692,0.194,3.178
0.010638692,0.196,3.176
0.010702692,0.204,3.167
0.010766692,0.219,3.148
0.010830692,0.240,3.123
0.010894692,0.260,3.096
0.010958692,0.279,3.070
0.011022692,0.292,3.053
0.011086692,0.297,3.043
0.011150692,0.294,3.044
0.011214692,0.283,3.058
0.011278692,0.266,3.080
0.011342692,0.246,3.107
0.011406692,0.226,3.134
0.011470692,0.208,3.156
